Date,Headline
2012-06-06,Twitter's mobile revenue surpassed Web on many days: CEO
2012-06-07,"Facebook, Microsoft said shopping Manhattan space"
2012-06-08,UPDATE 1-UBS losses on Facebook as high as $350 mln-CNBC
2012-06-11,Facebook to join Russell 3000 index
2012-06-12,Facebook consultant argues that website's ads work
2012-06-14,Nasdaq to skip U.S. House market hearing
2012-06-15,WRAPUP 1-Facebook sketches out IPO-mess defense; CTO departs
2012-06-16,Facebook to pay $10 million to settle suit
2012-06-17,Big investors on sidelines in Facebook case: Frankel
2012-06-18,UPDATE 4-Facebook to buy facial-recognition startup - sources
2012-06-19,UPDATE 1-Facebook pegs payment service to currencies
2012-06-20,UPDATE 1-Facebook's unique visitors slipped in May-comScore
2012-06-21,Louisiana sex offenders must soon post their status on Facebook
2012-06-22,Facebook expands ad business to Zynga's website
2012-06-25,UPDATE 2-Facebook taps COO Sandberg to be first woman on board
2012-06-26,UPDATE 1-Zynga plans to build a gamers' social network
2012-06-27,"Not all of Wall Street ""friending"" Facebook"
2012-06-28,"Facebook, LinkedIn boost privacy drive-watchdog"
2012-06-29,UPDATE 1-Facebook Q2 earnings results scheduled for July 26
2012-07-02,UPDATE 1-Ad exec sues Interpublic over Facebook investment
2012-07-03,GM talking with Facebook about advertising again-sources
2012-07-06,"UPDATE 1-Facebook, Yahoo tie up, settle lawsuits"
2012-07-11,UPDATE 1-Judge steps away from Facebook privacy lawsuit
2012-07-12,"Social networks scan for sexual predators, with uneven results"
2012-07-13,Tajikistan launches crackdown on Internet critics
2012-07-17,"Nasdaq, Facebook diverge over IPO lawsuits"
2012-07-18,Knight Capital weighing legal options for Facebook IPO losses
2012-07-19,"Facebook, Wal-Mart chiefs meet to ""deepen"" relationship"
2012-07-20,UPDATE 1-Nasdaq says filing $62 mln Facebook compensation plan
2012-07-21,Nasdaq boosts Facebook compensation plan to $62 million
2012-07-23,Google and Facebook boost federal lobbying in second-quarter
2012-07-24,Knight nears compromise in Nasdaq-Facebook repayment plan-source
2012-07-25,"UPDATE 3-Zynga slashes outlook, denting its stock and Facebook's"
2012-07-26,"CORRECTED-UPDATE 4-Facebook revenue growth skids, shares plunge"
2012-07-27,"Facebook revenue growth skids, shares plunge"
2012-07-29,HOW TO PLAY IT-Liking or hating social media
2012-07-30,"German trainee fined 227,000 euros for illegal Facebook party"
2012-07-31,UBS's huge Facebook loss throws doubt on Nasdaq plan
2012-08-01,Facebook platform partnership director says goodbye
2012-08-02,Hackers hit Major League Baseball teams' Facebook sites
2012-08-03,Nasdaq expects 'significant' new expenses over Facebook IPO
2012-08-06,Russia's Mail.Ru to pay $795 mln in special dividend
2012-08-07,Facebook opens doors to real-money gambling in Britain
2012-08-09,Spanish investor buys Facebook London HQ for $94 mln
2012-08-10,FTC approves final settlement with Facebook over privacy issues
2012-08-14,"RPT-UPDATE 1-Soros, Coleman among few hedge fund fans of Facebook"
2012-08-15,Venture capital feels the heat from ongoing dotcom turmoil
2012-08-16,Facebook shares down in premarket as lockup comes to an end
2012-08-17,"Facebook shares drop 4 percent, hit another low"
2012-08-18,UPDATE 2-Judge rejects Facebook settlement over ad feature
2012-08-20,CORRECTED-UPDATE 1-Facebook director Thiel sold 20 mln shares after lockup
2012-08-21,Facebook's director in spotlight after cashing out
2012-08-22,FTC clears Facebook acquisition of Instagram
2012-08-23,UPDATE 1-UBS says Nasdaq's Facebook compensation plan inadequate
2012-08-25,Facebook envisions swanky new digs as shares sink
2012-08-27,UPDATE 1-SEC reviews 'quiet period' IPO rule after Facebook mess
2012-08-30,Knight says accepts Nasdaq's $62 mln Facebook payback plan
2012-08-31,"Facebook cracks down on fake ""Likes"""
2012-09-04,UPDATE 1-Facebook says no secondary offering to cover tax bill
2012-09-05,BRIEF-Facebook shares up 2.9 percent in premarket trade
2012-09-06,PRESS DIGEST - Financial Times - Sept 7
2012-09-07,Facebook pix spat sparks Philadelphia plane bomb hoax
2012-09-21,"UPDATE 5-Man releases hostage, surrenders to police in Pittsburgh"
2012-09-22,RPT-Police break up disturbances in Dutch town after party invite on Facebook
2012-09-24,Facebook shares drop after Barron's snub
2012-09-25,French government asks Facebook to explain data glitch
2012-09-26,Middle East telcos mull alliance in Facebook fight
2012-09-27,"California schools, employers banned from social media snooping"
2012-09-28,EU lawmaker calls for tighter data rules after Facebook row
2012-10-01,UPDATE 1-Facebook's new pitch to brand advertisers: forget about clicks
2012-10-02,Florida fund manager admits to Facebook and Groupon shares scam
2012-10-03,Facebook lets U.S. users pay to boost visibility of postings
2012-10-04,"Facebook crosses billion threshold, on quest for growth"
2012-10-05,Facebook's head of communications to leave company
2012-10-08,"Facebook pitches new $20 million ""Sponsored Stories"" settlement"
2012-10-16,Facebook opens first international engineering centre in London
2012-10-19,Thiel could invest $150 million in AirBnb - report
2012-10-20,UPDATE 1-Thiel could invest $150 million in AirBnb
2012-10-21,Top Facebook executive quits to join London's Tech City
2012-10-23,UPDATE 4-Facebook mobile revenue grows faster than expected
2012-10-24,BRIEF-Nasdaq says expects SEC to rule on Facebook payback plan by year-end
2012-10-25,UPDATE 1-Russia's Mail.Ru sees display ad slowdown
2012-10-26,"UPDATE 3-Citi fined $2 mln over Facebook IPO, fires two analysts"
2012-10-27,Star Silicon Valley analyst felled by Facebook IPO fallout
2012-10-31,UPDATE 3-Facebook shares fall as lock-up period expires
2012-11-01,Bulgarians use Facebook to expose slipshod police
2012-11-02,UPDATE 1-Facebook's Sandberg sells $7.4 mln in stock
2012-11-06,UPDATE 1-Morgan Stanley seeks to halt Facebook arbitration case
2012-11-08,Facebook's Sandberg sells another $3.75 mln in stock
2012-11-09,"Mail.Ru cuts stakes in Groupon, Facebook, Zygna"
2012-11-12,"Dutch teenagers sentenced in ""Facebook murder"""
2012-11-13,UPDATE 2-Zynga overhauls upper management as CFO departs
2012-11-14,Top hedge funds picked up Facebook amid third quarter crash
2012-11-15,Facebook takes another shot at settling privacy lawsuit
2012-11-16,EXCLUSIVE-Facebook offering e-retailers sales tracking tool
2012-11-20,UPDATE 1-Interpublic exits Facebook
2012-11-21,"Facebook to share data with Instagram, loosen email rules"
2012-11-26,BRIEF-Facebook up in premarket after Bernstein upgrade
2012-11-27,Tajikistan blocks Facebook access to silence critics
2012-11-28,Man who sued Facebook pleads not guilty to fraud
2012-11-29,"UPDATE 1-Facebook, Zynga revamp partnership"
2012-11-30,US STOCKS-Wall Street little changed; Obama to speak on 'fiscal cliff'
2012-12-03,"Facebook voting begins on Instagram data-sharing, email privacy"
2012-12-04,UPDATE 4-Student group takes Facebook privacy gripes to court
2012-12-05,"Instagram's Systrom coy on ad plans, user data"
2012-12-06,U.S. judge names lead plaintiffs in Facebook litigation
2012-12-07,U.S. SEC wrestles with Internet age in Netflix case
2012-12-08,UPDATE 1-US SEC wrestles with Internet age in Netflix case
2012-12-09,Ghana's Mahama wins election - electoral body's Facebook page
2012-12-11,"Intel launches microserver chips, gets nod from Facebook"
2012-12-12,Facebook unveils new privacy controls
2012-12-16,Twitter offered Instagram $525 million deal: report
2012-12-17,UPDATE 2-Massachusetts fines Morgan Stanley over Facebook IPO
2012-12-18,UPDATE 1-Instagram says no plans to put user photos in ads
2012-12-19,Facebook set to bring video ads to news feed - report
2012-12-20,Facebook tests charging users to send certain messages
2012-12-21,California revenue dips in November
2012-12-24,Instagram furor triggers first class action lawsuit
2012-12-28,UPDATE 1-Facebook Instagram use dived after photo fiasco-AppData
2012-12-31,Ban on demanding Facebook passwords among new 2013 state laws
2013-01-02,"BRIEF-Facebook shares up, JPMorgan raises price target"
2013-01-14,"Facebook shares rise in buildup to mystery event, earnings"
2013-01-15,UPDATE 4-Facebook rolls out friends-based search product
2013-01-16,Twitter to open office in social network-crazed Brazil
2013-01-17,Candy Crush Saga leads European charge on Facebook
2013-01-22,RPT-Is Facebook envy making you miserable?
2013-01-23,UPDATE 1-FTC study taking aim at online marketing of booze
2013-01-24,Facebook founder to host fundraiser for New Jersey Gov. Christie
2013-01-25,Yandex says new mobile app is blocked by Facebook
2013-01-30,Facebook CEO plans to grow headcount in 2013
2013-01-31,Facebook starts selling retail gift cards on website
2013-02-01,"CORRECTED-Coming soon to Facebook- more action, battle games"
2013-02-05,"UPDATE 1-Kenya tracks Facebook, Twitter for election ""hate speech"""
2013-02-06,UPDATE 2-Yelp posts bigger-than-expected loss; shares down
2013-02-12,CORRECTED-Neighborhood network Nextdoor raises $21.6 mln
2013-02-13,Facebook execs get judge to toss 4 IPO-related lawsuits
2013-02-15,UPDATE 1-Facebook says target of sophisticated hacking attack
2013-02-16,UPDATE 3-Facebook says it was a target of sophisticated hacking
2013-02-19,"Exclusive: Apple, Macs hit by hackers who targeted Facebook"
2013-02-20,"UPDATE 1-Yahoo goes social, teams with Facebook for site revamp"
2013-02-21,CORRECTED-Facebook blocks access to NBC.com after reports site is infected
2013-02-22,UPDATE 1-Microsoft says small number of its computers hacked
2013-02-23,Microsoft says small number of its computers hacked
2013-02-25,Lawmakers urge Facebook to remove fraudulent Sandy Hook tributes
2013-02-26,Google extends social Web reach to counter Facebook's rise
2013-02-28,UPDATE 2-Facebook buys Microsoft ad technology platform
2013-03-01,UPDATE 2-Facebook to showcase new look for newsfeed March 7
2013-03-04,Facebook hit with fresh IPO-related lawsuit
2013-03-05,UPDATE 1-Facebook hit with fresh IPO-related lawsuit
2013-03-06,UPDATE 1-Facebook taps Genentech veteran for board
2013-03-07,UPDATE 4-Facebook puts focus on photos in new look; may boost ads
2013-03-08,REFILE-UPDATE 4-Facebook puts focus on photos in new look; may boost ads
2013-03-10,Sandberg's hot-button book rings true for Silicon Valley women
2013-03-11,"INSIGHT-On Facebook, app makers face a treacherous path"
2013-03-12,"CORRECTED-INSIGHT-On Facebook, app makers face a treacherous path"
2013-03-13,Netflix allows U.S. users to connect accounts to Facebook
2013-03-14,Facebook may emulate rival Twitter with introduction of hashtags
2013-03-15,Facebook may emulate rival Twitter with introduction of hashtags
2013-03-18,"Students bare souls, and more, on Facebook ""confession"" pages"
2013-03-19,UPDATE 2-Ex-Oregon governor candidate charged in Facebook IPO fraud
2013-03-21,"CORRECTED-Zynga relaunches gaming site, loosens Facebook ties"
2013-03-25,"UPDATE 4-US OKs Nasdaq payback plan for Facebook IPO, UBS unhappy"
2013-03-26,UPDATE 3-Judge recommends Ceglia case vs Facebook be dismissed
2013-03-27,Nasdaq extends deadline for Facebook IPO compensation applications
2013-04-01,"RPT-Youth flock to mobile messaging apps, may be threat to Facebook"
2013-04-02,"Zynga dives into Internet gambling, in the UK"
2013-04-04,UPDATE 4-Facebook aims to take centerstage on Android phones
2013-04-08,UPDATE 1-HTC posts record-low quarterly profit after delayed phone launch
2013-04-09,GM says to run ads on Facebook once again
2013-04-10,BRIEF-Facebook shares rise 1.7 pct in premarket trading
2013-04-11,RPT-Facebook's Zuckerberg calls for U.S. immigration reform
2013-04-12,Nasdaq slashes Greifeld's bonus over botched Facebook IPO
2013-04-14,Justin Bieber takes heat for hoping Anne Frank would have been fan
2013-04-16,Google's Schmidt sees 1 billion Android phones in use in 9 months
2013-04-23,"Facebook to build data center near Des Moines, Iowa"
2013-04-24,"UPDATE 3-Nasdaq profits hurt by Facebook IPO costs, dark trading"
2013-05-01,UPDATE 2-Facebook's mobile business expands in first quarter
2013-05-02,CORRECTED-UPDATE 3-Facebook's mobile business expands in first quarter
2013-05-05,Facebook still worth probably no more than $25 a share-Barron's
2013-05-08,Target tests if Facebook-driven deals bring shoppers into stores
2013-05-09,Facebook in talks to buy Israel's Waze for up to $1 billion: report
2013-05-12,"Analysis: Google+ struggles to attract brands, some neglect to update"
2013-05-23,Khosla Ventures hires Google veteran Ben Ling
2013-05-24,"UPDATE 1-Google, like Facebook, in talks to buy Waze for $1 bln-report"
2013-05-28,"RPT-The new tech palaces: visionary HQs, or cursed trophies?"
2013-05-29,UPDATE 2-Nasdaq to pay $10 mln to settle SEC charges from Facebook snafu
2013-05-30,COLUMN - Facebook and the outer limits of free speech
2013-06-01,Yelp open to partnering with Facebook's rival offering: CFO
2013-06-05,"Analysis: As Facebook grows up, grand ambitions get reality check"
2013-06-06,"Facebook pares ad options, simplifies marketing tools"
2013-06-07,Facebook denies providing government 'direct access' to servers
2013-06-11,UPDATE 2-Google buys Israel's Waze to keep mobile maps lead
2013-06-12,"Facebook adds 'hashtag' feature, taking a page from Twitter"
2013-06-15,"Facebook got 9,000-10,000 government data requests in second half 2012"
2013-06-18,EXCLUSIVE-Facebook reaches 1 million active advertisers
2013-06-20,Facebook rolls out video for Instagram
2013-06-21,RPT-Facebook admits year-long data breach exposed 6 million users
2013-06-25,Former Oregon politician pleads guilty to Facebook IPO fraud
2013-06-27,"UPDATE 1-In search for effective ads, U.S. TV operators mine viewer data"
2013-06-28,Judge scrutinizes Facebook deal to end privacy lawsuit over ads
2013-06-29,Former police chief Bratton launches a social network for cops
2013-06-30,Seven Saudis jailed for urging protests on Facebook: HRW
2013-07-02,Winklevoss twins plan IPO for Bitcoin-tracking stock
